2021-06-02 00:46:26.755900 {"type":"join","timestamp":1622594786.7559347,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"wagle","nickname":"wagle","username":"~wagle","name":"Perry Wagle,,,,","photo":null,"url":null,"tz":"US\/Pacific","host":"quassel.wagle.io"},"content":null,"modes":[]}
2021-06-02 01:52:58.774200 {"type":"join","timestamp":1622598778.7742486,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"BigShip","nickname":"BigShip","username":"~BigShip","name":"BigShip","photo":null,"url":null,"tz":"US\/Pacific","host":"user\/bigship"},"content":null,"modes":[]}
2021-06-02 04:25:30.606300 {"type":"join","timestamp":1622607930.6063147,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Moosadee","nickname":"Moosadee","username":"~Moosadee","name":"Rachel","photo":null,"url":null,"tz":null,"host":"136.32.155.193"},"content":null,"modes":[]}
2021-06-02 04:34:32.058100 {"type":"join","timestamp":1622608472.0580552,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"bneil","nickname":"bneil","username":"~bneil","name":"bneil","photo":"https:\/\/bneil.me\/images\/me.gif","url":"http:\/\/bneil.me","tz":"America\/Denver","host":"63.227.18.157"},"content":null,"modes":[]}
2021-06-02 04:52:01.544900 {"type":"join","timestamp":1622609521.5449197,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"bneil","nickname":"bneil","username":"~bneil","name":"bneil","photo":"https:\/\/bneil.me\/images\/me.gif","url":"http:\/\/bneil.me","tz":"America\/Denver","host":"63.227.18.157"},"content":null,"modes":[]}
2021-06-02 05:09:24.052400 {"type":"join","timestamp":1622610564.0523956,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"https:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-06-02 05:16:46.050500 {"type":"join","timestamp":1622611006.0505276,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"bneil","nickname":"bneil","username":"~bneil","name":"bneil","photo":"https:\/\/bneil.me\/images\/me.gif","url":"http:\/\/bneil.me","tz":"America\/Denver","host":"63.227.18.157"},"content":null,"modes":[]}
2021-06-02 05:28:40.894700 {"type":"join","timestamp":1622611720.8946538,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tw2113_Slack_]","nickname":"[tw2113_Slack_]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-06-02 06:17:35.146500 {"type":"join","timestamp":1622614655.1464992,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"bneil","nickname":"bneil","username":"~bneil","name":"bneil","photo":"https:\/\/bneil.me\/images\/me.gif","url":"http:\/\/bneil.me","tz":"America\/Denver","host":"63.227.18.157"},"content":null,"modes":[]}
2021-06-02 06:36:47.787600 {"type":"join","timestamp":1622615807.787595,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"clawfire","nickname":"clawfire","username":"~Clawfire","name":null,"photo":null,"url":null,"tz":null,"host":"178.249.194.243"},"content":null,"modes":[]}
2021-06-02 06:41:33.585900 {"type":"join","timestamp":1622616093.5859435,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Moosadee","nickname":"Moosadee","username":"~Moosadee","name":"Rachel","photo":null,"url":null,"tz":null,"host":"136.32.155.193"},"content":null,"modes":[]}
2021-06-02 07:18:21.964500 {"type":"join","timestamp":1622618301.964525,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"bneil","nickname":"bneil","username":"~bneil","name":"bneil","photo":"https:\/\/bneil.me\/images\/me.gif","url":"http:\/\/bneil.me","tz":"America\/Denver","host":"63.227.18.157"},"content":null,"modes":[]}
