2019-01-11 01:03:21.816000 {"type":"join","timestamp":1547168601.816,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"j12t_","nickname":"j12t_","username":"~j12t","name":null,"photo":"http:\/\/upon2020.com\/public\/portrait-128x128.jpg","url":"http:\/\/upon2020.com","tz":"America\/San_Francisco","host":"107-215-1-140.lightspeed.sntcca.sbcglobal.net"},"content":null,"modes":[]}
2019-01-11 02:07:22.468700 {"type":"join","timestamp":1547172442.4687,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"gino","nickname":"gino","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-01-11 02:17:50.437900 {"type":"join","timestamp":1547173070.4379,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Desmond","nickname":"Desmond","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-01-11 04:38:17.248700 {"type":"join","timestamp":1547181497.2487,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Desmond","nickname":"Desmond","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-01-11 05:41:58.594400 {"type":"join","timestamp":1547185318.5944,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[eddie]","nickname":"[eddie]","username":"~slackuser","name":"eddie via slack-irc-gateway","photo":"https:\/\/eddiehinkle.com\/images\/profile.jpg","url":"http:\/\/eddiehinkle.com","tz":"America\/New_York","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-01-11 06:17:26.016900 {"type":"join","timestamp":1547187446.0169,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-01-11 10:07:40.537700 {"type":"join","timestamp":1547201260.5377,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jeremych_","nickname":"jeremych_","username":"~textual","name":null,"photo":null,"url":null,"tz":null,"host":"93.48.241.48"},"content":null,"modes":[]}
2019-01-11 10:25:12.564300 {"type":"message","timestamp":1547202312.5643,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"[@Sapna_3] \u21a9\ufe0f I have no problem with anyone tagging me in political tweets,but I dont want to be part of any non political conversation ,except withknown friends (http:\/\/twtr.io\/1nXttK_3pQJ)","modes":[]}
2019-01-11 11:34:31.975700 {"type":"join","timestamp":1547206471.9757,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[deeden]","nickname":"[deeden]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/deeden.co.uk","tz":"Europe\/Belfast","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-01-11 11:42:04.649100 {"type":"join","timestamp":1547206924.6491,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[Vincent]","nickname":"[Vincent]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-01-11 11:44:41.060100 {"type":"join","timestamp":1547207081.0601,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"bradenslen","nickname":"bradenslen","username":"~webuser","name":null,"photo":"https:\/\/ramblinggit.com\/wp-content\/uploads\/2018\/07\/1625543_10202387609944982_854284321_n-e1530649540311.jpg","url":"http:\/\/ramblinggit.com","tz":"America\/Chicago","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-01-11 11:47:31.968500 {"type":"join","timestamp":1547207251.9685,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"raretrack","nickname":"raretrack","username":"~raretrack","name":null,"photo":null,"url":"http:\/\/raretrack.uk","tz":"Europe\/London","host":"64.176.7.51.dyn.plus.net"},"content":null,"modes":[]}
2019-01-11 11:51:43.075600 {"type":"join","timestamp":1547207503.0756,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"raretrack","nickname":"raretrack","username":"~raretrack","name":null,"photo":null,"url":"http:\/\/raretrack.uk","tz":"Europe\/London","host":"64.176.7.51.dyn.plus.net"},"content":null,"modes":[]}
2019-01-11 12:28:27.875800 {"type":"join","timestamp":1547209707.8758,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"seekr","nickname":"seekr","username":"~seekr","name":"seekr","photo":null,"url":null,"tz":null,"host":"unaffiliated\/seekr"},"content":null,"modes":[]}
2019-01-11 13:52:47.917300 {"type":"join","timestamp":1547214767.9173,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[eddie]","nickname":"[eddie]","username":"~slackuser","name":"eddie via slack-irc-gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-01-11 14:17:16.991700 {"type":"join","timestamp":1547216236.9917,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[kevinmarks]","nickname":"[kevinmarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-01-11 15:45:52.566500 {"type":"join","timestamp":1547221552.5665,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[Rose]","nickname":"[Rose]","username":"~slackuser","name":null,"photo":"https:\/\/rosemaryorchard.com\/images\/rosemary_orchard.png","url":"http:\/\/rosemaryorchard.com","tz":"Europe\/Austria","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-01-11 15:58:28.414700 {"type":"join","timestamp":1547222308.4147,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[kevinmarks]","nickname":"[kevinmarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
